by_binomial,creole,BY_spec_grav,family,genus,species,species_abbr,wd_avg
cupressus sempervirens,,,Cupressaceae,Cupressus,sempervirens,sempervirens,
curatella americana,,,Dilleniaceae,Curatella,americana,americana,
cyathea aquilina,,,Cyatheaceae,Cyathea,aquilina,aquilina,
cyathea arborea,,,Cyatheaceae,Cyathea,arborea,arborea,
cyathea escuquensis,,,Cyatheaceae,Cyathea,escuquensis,escuquensis,
cyathea furfuracea,,,Cyatheaceae,Cyathea,furfuracea,furfuracea,
cyathea harrisii,,,Cyatheaceae,Cyathea,harrisii,harrisii,
cyathea tenera,,,Cyatheaceae,Cyathea,tenera,tenera,
cyathea wilsonii,,,Cyatheaceae,Cyathea,wilsonii,wilsonii,
cycas circinalis,,,Cycadaceae,Cycas,circinalis,circinalis,
cycas revoluta,,,Cycadaceae,Cycas,revoluta,revoluta,
cynometra americana,,,Fabaceae,Cynometra,americana,americana,
cynometra portoricensis,,,Fabaceae,Cynometra,portoricensis,portoricensis,
cyphomandra betacea,,,Solanaceae,Cyphomandra,betacea,betacea,
cyrilla racemiflora,,0.53,Cyrillaceae,Cyrilla,racemiflora,racemiflora,0.53
dalbergia berterii,,,Fabaceae,Dalbergia,berterii,berterii,
dalbergia ecastaphyllum,,,Fabaceae,Dalbergia,ecastaphyllum,ecastaphyllum,
dalbergia monetaria,,,Fabaceae,Dalbergia,monetaria,monetaria,
dalbergia sisoo,,0.78-0.83,Fabaceae,Dalbergia,sisoo,sisoo,0.8049999999999999
daphnopsis americana ssp. cumingii,,,Thymeliaceae,Daphnopsis,americana ssp. cumingii,americana,
daphnopsis crassifolia,,,Thymeliaceae,Daphnopsis,crassifolia,crassifolia,
datura suaveolens,,,Solanaceae,Datura,suaveolens,suaveolens,
dendropanax selleanus,,,Araliaceae,Dendropanax,selleanus,selleanus,
dillenia indica,,,Dilleniaceae,Dillenia,indica,indica,
diospyros caribea,,,Ebenaceae,Diospyros,caribea,caribea,
diospyros domingensis,,,Ebenaceae,Diospyros,domingensis,domingensis,
diospyros revoluta,,,Ebenaceae,Diospyros,revoluta,revoluta,
diospyros tetrasperma,,,Ebenaceae,Diospyros,tetrasperma,tetrasperma,
ditta myricoides,,,Euphorbiaceae,Ditta,myricoides,myricoides,
dovyalis caffra,,,Flacourtiaceae,Dovyalis,caffra,caffra,
dovyalis hebecarpa,,,Flacourtiaceae,Dovyalis,hebecarpa,hebecarpa,
dracaena fragrans,,,Liliaceae,Dracaena,fragrans,fragrans,
drypetes alba,,,Euphorbiaceae,Drypetes,alba,alba,
drypetes glauca,,,Euphorbiaceae,Drypetes,glauca,glauca,
drypetes ilicifolia,,,Euphorbiaceae,Drypetes,ilicifolia,ilicifolia,
drypetes picardae,,,Euphorbiaceae,Drypetes,picardae,picardae,
ehretia tinifolia,bwa nwa,,Boraginaceae,Ehretia,tinifolia,tinifolia,
erithalis fruticosa,,,Rubiaceae,Erithalis,fruticosa,fruticosa,
erythrina buchii,,,Fabaceae,Erythrina,buchii,buchii,
erythrina corallodendrum,,,Fabaceae,Erythrina,corallodendrum,corallodendrum,
erythrina crista-galli,,,Fabaceae,Erythrina,crista-galli,crista-galli,
erythrina fusca,,,Fabaceae,Erythrina,fusca,fusca,
erythrina leptopoda,,,Fabaceae,Erythrina,leptopoda,leptopoda,
erythroxylum havanense,,,Erythroxylaceae,Erythroxylum,havanense,havanense,
erythroxylum minutifolium,,,Erythroxylaceae,Erythroxylum,minutifolium,minutifolium,
erythroxylum rotundifolium,,,Erythroxylaceae,Erythroxylum,rotundifolium,rotundifolium,
eucalyptus tereticornis,kaliptis,,Myrtaceae,Eucalyptus,tereticornis,tereticornis,
eugenia biflora,,,Myrtaceae,Eugenia,biflora,biflora,
eugenia carophylla,,,Myrtaceae,Eugenia,carophylla,carophylla,
eugenia confusa,,,Myrtaceae,Eugenia,confusa,confusa,
eugenia dictyophylla,,,Myrtaceae,Eugenia,dictyophylla,dictyophylla,
eugenia glabrata,,,Myrtaceae,Eugenia,glabrata,glabrata,
eugenia laevis,,,Myrtaceae,Eugenia,laevis,laevis,
eugenia ligustrina,,,Myrtaceae,Eugenia,ligustrina,ligustrina,
eugenia maleolens,,,Myrtaceae,Eugenia,maleolens,maleolens,
eugenia odorata,,,Myrtaceae,Eugenia,odorata,odorata,
eugenia procera,,,Myrtaceae,Eugenia,procera,procera,
eugenia pseudopsidium,,1.3,Myrtaceae,Eugenia,pseudopsidium,pseudopsidium,1.3
eugenia uniflora,,,Myrtaceae,Eugenia,uniflora,uniflora,
euphorbia lactea,,,Euphorbiaceae,Euphorbia,lactea,lactea,
euphorbia leucocephala,,,Euphorbiaceae,Euphorbia,leucocephala,leucocephala,
euphorbia milii,,,Euphorbiaceae,Euphorbia,milii,milii,
euphorbia petiolaris,,,Euphorbiaceae,Euphorbia,petiolaris,petiolaris,
euphorbia pulcherrima,,,Euphorbiaceae,Euphorbia,pulcherrima,pulcherrima,
euphorbia tirucalli,,,Euphorbiaceae,Euphorbia,tirucalli,tirucalli,
exostema ellipticum,,,Rubiaceae,Exostema,ellipticum,ellipticum,
exostema sanctae-luciae,,,Rubiaceae,Exostema,sanctae-luciae,sanctae-luciae,
faramea occidentalis,,,Rubiaceae,Faramea,occidentalis,occidentalis,
ficus benjamina,figye,,Moraceae,Ficus,benjamina,benjamina,
ficus carica,figye,,Moraceae,Ficus,carica,carica,
ficus citrifolia,figye,0.4,Moraceae,Ficus,citrifolia,citrifolia,0.4
ficus microcarpa,figye,0.5,Moraceae,Ficus,microcarpa,microcarpa,0.5
ficus religiosa,figye,,Moraceae,Ficus,religiosa,religiosa,
forestiera rhamnifolia,,,Oleaceae,Forestiera,rhamnifolia,rhamnifolia,
forestiera segregata,,,Oleaceae,Forestiera,segregata,segregata,
fortunella spp.,,,Rutaceae,Fortunella,spp.,spp.,
garcia nutans,,,Euphorbiaceae,Garcia,nutans,nutans,
garcinia aristata,,,Clusiaceae,Garcinia,aristata,aristata,
garcinia mangostana,,,Clusiaceae,Garcinia,mangostana,mangostana,
garrya fadyenii,,,Garryaceae,Garrya,fadyenii,fadyenii,
geonoma interrupta var. interrupta,,,Arecaceae,Geonoma,interrupta var. interrupta,interrupta,
gesneria spp.,,,Gesneriaceae,Gesneria,spp.,spp.,
ginoria rohrii,,,Lythraceae,Ginoria,rohrii,rohrii,
gomidesia lindeniana,,,Myrtaceae,Gomidesia,lindeniana,lindeniana,
guaiacum sanctum,,,Zygophyllaceae,Guaiacum,sanctum,sanctum,
guapira discolor,,,Nyctaginaceae,Guapira,discolor,discolor,
guapira domingensis,,,Nyctaginaceae,Guapira,domingensis,domingensis,
guapira fragrans,,,Nyctaginaceae,Guapira,fragrans,fragrans,
guapira ligustrifolia,,,Nyctaginaceae,Guapira,ligustrifolia,ligustrifolia,
guarea guidonia,,,Meliaceae,Guarea,guidonia,guidonia,
guettarda elliptica,,,Rubiaceae,Guettarda,elliptica,elliptica,
guettarda multinervis,,,Rubiaceae,Guettarda,multinervis,multinervis,
guettarda ovalifolia,,,Rubiaceae,Guettarda,ovalifolia,ovalifolia,
guettarda pungens,,,Rubiaceae,Guettarda,pungens,pungens,
guettarda valenzuelana,,,Rubiaceae,Guettarda,valenzuelana,valenzuelana,
gymindia latifolia,,,Celastraceae,Gymindia,latifolia,latifolia,
haenianthus salicifolius,,,Oleaceae,Haenianthus,salicifolius,salicifolius,
hernandia sonora,,0.29,Hernandiaceae,Hernandia,sonora,sonora,0.29
heteropteris laurifolia,,,Malpighiaceae,Heteropteris,laurifolia,laurifolia,
hibiscus rosa-sinensis,,,Malvaceae,Hibiscus,rosa-sinensis,rosa-sinensis,
hippomane spinosa,,,Euphorbiaceae,Hippomane,spinosa,spinosa,
hirtella triandra,,,Chrysobalanaceae,Hirtella,triandra,triandra,
homalium racemosum,,0.77,Flacourtiaceae,Homalium,racemosum,racemosum,0.77
huertea cubensis,,,Staphyleaceae,Huertea,cubensis,cubensis,
hyeronima domingensis,,,Euphorbiaceae,Hyeronima,domingensis,domingensis,
hyeronima spp. ,,0.52-0.78,Euphorbiaceae,Hyeronima,spp.,spp.,0.65
hyperbaena lindmanii,,,Menispermaceae,Hyperbaena,lindmanii,lindmanii,
ilex azuensis,,,Aquifoliaceae,Ilex,azuensis,azuensis,
ilex barahonica,,,Aquifoliaceae,Ilex,barahonica,barahonica,
ilex fuertesiana,,,Aquifoliaceae,Ilex,fuertesiana,fuertesiana,
ilex guianensis,,,Aquifoliaceae,Ilex,guianensis,guianensis,
ilex impressa,,,Aquifoliaceae,Ilex,impressa,impressa,
ilex krugiana,,,Aquifoliaceae,Ilex,krugiana,krugiana,
ilex macfadyenii,,,Aquifoliaceae,Ilex,macfadyenii,macfadyenii,
ilex microwrightioides,,,Aquifoliaceae,Ilex,microwrightioides,microwrightioides,
ilex nitida,,,Aquifoliaceae,Ilex,nitida,nitida,
ilex obcordata,,,Aquifoliaceae,Ilex,obcordata,obcordata,
ilex repanda,,,Aquifoliaceae,Ilex,repanda,repanda,
ilex riedlaei,,,Aquifoliaceae,Ilex,riedlaei,riedlaei,
ilex tuerckheimii,,,Aquifoliaceae,Ilex,tuerckheimii,tuerckheimii,
illicium ekmanii,,,Illiciaceae,Illicium,ekmanii,ekmanii,
illicium parviflorum,,,Illiciaceae,Illicium,parviflorum,parviflorum,
inga fagifolia,,0.62,Fabaceae,Inga,fagifolia,fagifolia,0.62
inga fastuosa,,,Fabaceae,Inga,fastuosa,fastuosa,
ixora ferrea,,,Rubiaceae,Ixora,ferrea,ferrea,
jatropha curcas,,,Euphorbiaceae,Jatropha,curcas,curcas,
jatropha integerrima,,,Euphorbiaceae,Jatropha,integerrima,integerrima,
jatropha multifida,,,Euphorbiaceae,Jatropha,multifida,multifida,
juniperus gracilior,,,Cupressaceae,Juniperus,gracilior,gracilior,
laetia procera,,0.75,Flacourtiaceae,Laetia,procera,procera,0.75
laetia thamnia,,,Flacourtiaceae,Laetia,thamnia,thamnia,
lagerstroemia indica,,,Lythraceae,Lagerstroemia,indica,indica,
lagerstroemia speciosa,,0.55,Lythraceae,Lagerstroemia,speciosa,speciosa,0.55
lagetta lagetto,,,Thymeliaceae,Lagetta,lagetto,lagetto,
laplacea spp.,,,Theaceae,Laplacea,spp.,spp.,
lawsonia inermis,,,Lythraceae,Lawsonia,inermis,inermis,
lemaireocereus hystrix,,,Cactaceae,Lemaireocereus,hystrix,hystrix,
leucaena trichodes,,,Fabaceae,Leucaena,trichodes,trichodes,
litchi chinensis,,,Sapindaceae,Litchi,chinensis,chinensis,
lobelia assurgens,,,Campanulaceae,Lobelia,assurgens,assurgens,
lonchocarpus domingensis,,,Fabaceae,Lonchocarpus,domingensis,domingensis,
lonchocarpus latifolius,,,Fabaceae,Lonchocarpus,latifolius,latifolius,
lonchocarpus longipes,,,Fabaceae,Lonchocarpus,longipes,longipes,
lonchocarpus neurophyllus,,,Fabaceae,Lonchocarpus,neurophyllus,neurophyllus,
lunania ekmanii,,,Flacourtiaceae,Lunania,ekmanii,ekmanii,
lyonia rubiginosa,,,Ericaceae,Lyonia,rubiginosa,rubiginosa,
lysiloma bahamensis,,,Fabaceae,Lysiloma,bahamensis,bahamensis,
machaerium lunatum,,,Fabaceae,Machaerium,lunatum,lunatum,
magnolia grandiflora,,,Magnoliaceae,Magnolia,grandiflora,grandiflora,
magnolia hamori,,,Magnoliaceae,Magnolia,hamori,hamori,
magnolia pallescens,,,Magnoliaceae,Magnolia,pallescens,pallescens,
magnolia spp.,,0.4-0.7,Magnoliaceae,Magnolia,spp.,spp.,0.55
malpighia albiflora,,,Malpighiaceae,Malpighia,albiflora,albiflora,
malpighia emarginata,,,Malpighiaceae,Malpighia,emarginata,emarginata,
malpighia megacantha,,,Malpighiaceae,Malpighia,megacantha,megacantha,
malpighia setosa,,,Malpighiaceae,Malpighia,setosa,setosa,
malpighia urens,,,Malpighiaceae,Malpighia,urens,urens,
malvaviscus arboreus,,,Malvaceae,Malvaviscus,arboreus,arboreus,
manilkara gonavensis,,,Sapotaceae,Manilkara,gonavensis,gonavensis,
manilkara jaimiqui ssp. haitensis,,,Sapotaceae,Manilkara,jaimiqui ssp. haitensis,jaimiqui,
margaritaria nobilis,,0.9,Euphorbiaceae,Margaritaria,nobilis,nobilis,0.9
matayba apetala,,,Sapindaceae,Matayba,apetala,apetala,
matayba scrobiculata,,,Sapindaceae,Matayba,scrobiculata,scrobiculata,
maytenus buxifolia,,,Celastraceae,Maytenus,buxifolia,buxifolia,
maytenus domingensis,,,Celastraceae,Maytenus,domingensis,domingensis,
maytenus elliptica,,,Celastraceae,Maytenus,elliptica,elliptica,
mecranium spp. except amygdalinum,,,Melastomataceae,Mecranium,spp. except amygdalinum,spp.,
meliosma abbreviata,koma,,Sabiaceae,Meliosma,abbreviata,abbreviata,
meliosma herbertii,,0.42,Sabiaceae,Meliosma,herbertii,herbertii,0.42
meliosma impressa ,,,Sabiaceae,Meliosma,impressa,impressa,
meliosma recurvata,,,Sabiaceae,Meliosma,recurvata,recurvata,
metopium brownei,,,Anarcardiceae,Metopium,brownei,brownei,
michelia champaca,,,Magnoliaceae,Michelia,champaca,champaca,
mimosa ceratonia,,,Fabaceae,Mimosa,ceratonia,ceratonia,
mimosa parvifoliolata,,,Fabaceae,Mimosa,parvifoliolata,parvifoliolata,
mimosa scabrella,,0.45-0.67,Fabaceae,Mimosa,scabrella,scabrella,0.56
mora abbottii,,,Fabaceae,Mora,abbottii,abbottii,
mora ekmanii,,,Fabaceae,Mora,ekmanii,ekmanii,
morisonia americana,,,Brassicaceae,Morisonia,americana,americana,
musa acuminata colla x m. balbisiana colla 'aaa',,,Musaceae,Musa,acuminata colla x m. balbisiana colla 'aaa',acuminata,
musa acuminata colla x m. balbisiana colla 'aab',,,Musaceae,Musa,acuminata colla x m. balbisiana colla 'aab',acuminata,
myrcia deflexa,,0.8,Myrtaceae,Myrcia,deflexa,deflexa,0.8
myrcia leptoclada,,,Myrtaceae,Myrcia,leptoclada,leptoclada,
myrcia splendens,,,Myrtaceae,Myrcia,splendens,splendens,
myrcianthes esnardiana,,,Myrtaceae,Myrcianthes,esnardiana,esnardiana,
myrcianthes fragrans,,,Myrtaceae,Myrcianthes,fragrans,fragrans,
myrciaria floribunda,,,Myrtaceae,Myrciaria,floribunda,floribunda,
myrospermum frutescens,,,Fabaceae,Myrospermum,frutescens,frutescens,
myroxylon balsamum,,0.74-0.81,Fabaceae,Myroxylon,balsamum,balsamum,0.775
myrsine magnoliifolia,,,Myrsinaceae,Myrsine,magnoliifolia,magnoliifolia,
neobuchia paulinae,,,Bombacaceae,Neobuchia,paulinae,paulinae,
neolaugeria resinosa,,0.8,Rubiaceae,Neolaugeria,resinosa,resinosa,0.8
ocotea foeniculacea,lorie,,Lauraceae,Ocotea,foeniculacea,foeniculacea,
ocotea nemodaphne,lorie,,Lauraceae,Ocotea,nemodaphne,nemodaphne,
ocotea oligoneura,lorie,,Lauraceae,Ocotea,oligoneura,oligoneura,
ocotea patens,lorie,,Lauraceae,Ocotea,patens,patens,
ocotea sintensisii,lorie,0.55,Lauraceae,Ocotea,sintensisii,sintensisii,0.55
ocotea wrightii,lorie,,Lauraceae,Ocotea,wrightii,wrightii,
omphalea commutata,,,Euphorbiaceae,Omphalea,commutata,commutata,
omphalea triandra,,,Euphorbiaceae,Omphalea,triandra,triandra,
opuntia ficus-indica,,,Cactaceae,Opuntia,ficus-indica,ficus-indica,
opuntia moniliformis,,,Cactaceae,Opuntia,moniliformis,moniliformis,
oreopanax capitatum,,,Araliaceae,Oreopanax,capitatum,capitatum,
ottoschulzia domingensis,,,Icacinaceae,Ottoschulzia,domingensis,domingensis,
ottoschulzia rhodoxylon,,,Icacinaceae,Ottoschulzia,rhodoxylon,rhodoxylon,
ouratea ilicifolia,,,Ochnaceae,Ouratea,ilicifolia,ilicifolia,
oxandra laurifolia,,,Annonaceae,Oxandra,laurifolia,laurifolia,
pachira aquatica,,,Bombacaceae,Pachira,aquatica,aquatica,
pachira insignis,,,Bombacaceae,Pachira,insignis,insignis,
palicourea alpina,,,Rubiaceae,Palicourea,alpina,alpina,
palicourea barbinervia,,,Rubiaceae,Palicourea,barbinervia,barbinervia,
palicourea crocea,,,Rubiaceae,Palicourea,crocea,crocea,
palicourea domingensis,,,Rubiaceae,Palicourea,domingensis,domingensis,
palicourea spp.,,,Rubiaceae,Palicourea,spp.,spp.,
parathesis crenulata,,,Myrsinaceae,Parathesis,crenulata,crenulata,
parathesis serrulata,,,Myrsinaceae,Parathesis,serrulata,serrulata,
parkia roxburghii,,,Fabaceae,Parkia,roxburghii,roxburghii,
peltophorum berteroanum,,,Fabaceae,Peltophorum,berteroanum,berteroanum,
peltophorum pterocarpum,,,Fabaceae,Peltophorum,pterocarpum,pterocarpum,
pera glomerata,,,Euphorbiaceae,Pera,glomerata,glomerata,
persea anomala,,,Lauraceae,Persea,anomala,anomala,
pethecellobium lentiscifolium,,,Fabaceae,Pethecellobium,lentiscifolium,lentiscifolium,
phoenix canariensis,,,Arecaceae,Phoenix,canariensis,canariensis,
phyllanthus juglandifolius,,,Euphorbiaceae,Phyllanthus,juglandifolius,juglandifolius,
picramnia antidesma,,,Simaroubaceae,Picramnia,antidesma,antidesma,
picrodendron baccatum,,,Euphorbiaceae,Picrodendron,baccatum,baccatum,
pictetia obcordata,,,Fabaceae,Pictetia,obcordata,obcordata,
pilocarpus racemosus,,,Rutaceae,Pilocarpus,racemosus,racemosus,
pimenta dioica,,,Myrtaceae,Pimenta,dioica,dioica,
pimenta racemosa var grisea,,,Myrtaceae,Pimenta,racemosa var grisea,racemosa,
pimenta racemosa var racemosa,,,Myrtaceae,Pimenta,racemosa var racemosa,racemosa,
pimenta terebinthina,,,Myrtaceae,Pimenta,terebinthina,terebinthina,
piper amalago,bwa anis,,Piperaceae,Piper,amalago,amalago,
piper tuberculatum,,,Piperaceae,Piper,tuberculatum,tuberculatum,
piscidia piscipula,,,Fabaceae,Piscidia,piscipula,piscipula,
pisonia aculeata,,,Nyctaginaceae,Pisonia,aculeata,aculeata,
pisonia albida,,,Nyctaginaceae,Pisonia,albida,albida,
pisonia helleri,,,Nyctaginaceae,Pisonia,helleri,helleri,
pisonia rotundata,,0.5,Nyctaginaceae,Pisonia,rotundata,rotundata,0.5
pithecellobium abbottii,,,Fabaceae,Pithecellobium,abbottii,abbottii,
pithecellobium dulce,,0.58-0.69,Fabaceae,Pithecellobium,dulce,dulce,0.635
pithecellobium glaucum,,,Fabaceae,Pithecellobium,glaucum,glaucum,
pithecellobium unguis-cati,,,Fabaceae,Pithecellobium,unguis-cati,unguis-cati,
pleodendron spp.,,,Canellaceae,Pleodendron,spp.,spp.,
plumeria alba,,,Apocynaceae,Plumeria,alba,alba,
plumeria obtusa,,,Apocynaceae,Plumeria,obtusa,obtusa,
plumeria obtusa x p. subsessilis,,,Apocynaceae,Plumeria,obtusa x p. subsessilis,obtusa,
plumeria rubra,,,Apocynaceae,Plumeria,rubra,rubra,
plumeria rubra x p. subsessilis,,,Apocynaceae,Plumeria,rubra x p. subsessilis,rubra,
plumeria stenopetala,,,Apocynaceae,Plumeria,stenopetala,stenopetala,
plumeria subsessilis,,,Apocynaceae,Plumeria,subsessilis,subsessilis,
plumeria tuberculata,,,Apocynaceae,Plumeria,tuberculata,tuberculata,
podocarpus angustifolius,,,Podocarpaceae,Podocarpus,angustifolius,angustifolius,
polygala penaea,,,Polygalaceae,Polygala,penaea,penaea,
polyscias balfouriana,,,Araliaceae,Polyscias,balfouriana,balfouriana,
polyscias filicifolia,,,Araliaceae,Polyscias,filicifolia,filicifolia,
polyscias guilfoylei,,,Araliaceae,Polyscias,guilfoylei,guilfoylei,
polyscias pinnata,,,Araliaceae,Polyscias,pinnata,pinnata,
pouteria domingensis,,,Sapotaceae,Pouteria,domingensis,domingensis,
pouteria multiflora,,,Sapotaceae,Pouteria,multiflora,multiflora,
prestoea acuminata,,,Arecaceae,Prestoea,acuminata,acuminata,
prunus americana,,,Rosaceae,Prunus,americana,americana,
prunus domestica,,,Rosaceae,Prunus,domestica,domestica,
prunus persica ,,,Rosaceae,Prunus,persica,persica,
pseudalbizzia berteriana,bwa savann,,Fabaceae,Pseudalbizzia,berteriana,berteriana,
pseudanamomis umbellulifera,,,Myrtaceae,Pseudanamomis,umbellulifera,umbellulifera,
pseudobombax,,,Bombacaceae,Pseudobombax,,,
pseudophoenix lediniana,,,Arecaceae,Pseudophoenix,lediniana,lediniana,
pseudophoenix sargentii,,,Arecaceae,Pseudophoenix,sargentii,sargentii,
pseudophoenix vinifera,,,Arecaceae,Pseudophoenix,vinifera,vinifera,
psidium dictyophyllum,,,Myrtaceae,Psidium,dictyophyllum,dictyophyllum,
psychotria berteriana,,,Rubiaceae,Psychotria,berteriana,berteriana,
psychotria grandis,,,Rubiaceae,Psychotria,grandis,grandis,
psychotria nutans,,,Rubiaceae,Psychotria,nutans,nutans,
psychotria spp.,,,Rubiaceae,Psychotria,spp.,spp.,
punica granatum,,,Punicaceae,Punica,granatum,granatum,
pyrus communis,,,Rosaceae,Pyrus,communis,communis,
quararibea turbinata,,,Bombacaceae,Quararibea,turbinata,turbinata,
quassia amara,,,Simaroubaceae,Quassia,amara,amara,
randia erythrocarpa,,,Rubiaceae,Randia,erythrocarpa,erythrocarpa,
rauvolfia biauriculata,,,Apocynaceae,Rauvolfia,biauriculata,biauriculata,
rauvolfia viridis,,,Apocynaceae,Rauvolfia,viridis,viridis,
ravenala madagascariensis,,,Musaceae,Ravenala,madagascariensis,madagascariensis,
reynosia uncinata,,,Rhamnaceae,Reynosia,uncinata,uncinata,
rhamnus,,,Rhamnaceae,Rhamnus,,,
rheedia laterifolia,zabriko,,Clusiaceae,Rheedia,laterifolia,laterifolia,
rheedia verticillata,,,Clusiaceae,Rheedia,verticillata,verticillata,
rollinia mucosa,,,Annonaceae,Rollinia,mucosa,mucosa,
rondeletia spp.,,,Rubiaceae,Rondeletia,spp.,spp.,
samubucus candensis,,,Adoxaceae,Samubucus,candensis,candensis,
samyda dodecandra,,,Flacourtiaceae,Samyda,dodecandra,dodecandra,
sapium buchii,,,Euphorbiaceae,Sapium,buchii,buchii,
sapium jamaicense,bwa let,,Euphorbiaceae,Sapium,jamaicense,jamaicense,
savia sessiliflora,,,Euphorbiaceae,Savia,sessiliflora,sessiliflora,
schefflera tremula,,,Araliaceae,Schefflera,tremula,tremula,
schinus molle,,,Anacardiaceae,Schinus,molle,molle,
schinus terbinthifolius,,,Anacardiaceae,Schinus,terbinthifolius,terbinthifolius,
schoepfia obovata,,,Olacaceae,Schoepfia,obovata,obovata,
sciadodendrum excelsum,,,Anacardiaceae,Sciadodendrum,excelsum,excelsum,
securinega acidoton,,,Euphorbiaceae,Securinega,acidoton,acidoton,
senna angustiliqua,,,Fabaceae,Senna,angustiliqua,angustiliqua,
senna domingensis,,,Fabaceae,Senna,domingensis,domingensis,
senna pendula var. advena,,,Fabaceae,Senna,pendula var. advena,pendula,
senna polyphylla var. polyphylla,,,Fabaceae,Senna,polyphylla var. polyphylla,polyphylla,
senna septemtrionalisis,,,Fabaceae,Senna,septemtrionalisis,septemtrionalisis,
sesbania bispinosa,,,Fabaceae,Sesbania,bispinosa,bispinosa,
sesbania grandiflora,pwa valye,,Fabaceae,Sesbania,grandiflora,grandiflora,
sesbania sesban,,,Fabaceae,Sesbania,sesban,sesban,
simarouba berteroana,fwenn,,Simaroubaceae,Simarouba,berteroana,berteroana,
simarouba glauca dc. var. latifolia,fwenn,,Simaroubaceae,Simarouba,glauca dc. var. latifolia,glauca,
sloanea berteriana,,0.8,Elaeocarpaceae,Sloanea,berteriana,berteriana,0.8
sloanea ilicifolia,,,Elaeocarpaceae,Sloanea,ilicifolia,ilicifolia,
solanum antillarum,,,Solanaceae,Solanum,antillarum,antillarum,
solanum polygamum,,,Solanaceae,Solanum,polygamum,polygamum,
solanum rugosum,,,Solanaceae,Solanum,rugosum,rugosum,
spondias x robe,,,Anacardiaceae,Spondias,x robe,x,
stahlia monosperma,,,Fabaceae,Stahlia,monosperma,monosperma,
stegnosperma cubense,,,Phytolaccaceae,Stegnosperma,cubense,cubense,
sterculia foetida,,,Malvaceae,Sterculia,foetida,foetida,
strumpfia maritima,,,Rubiaceae,Strumpfia,maritima,maritima,
symplocos berteroi,,,Symplocaceae,Symplocos,berteroi,berteroi,
syzygium cumini,,,Myrtaceae,Syzygium,cumini,cumini,
tabebuia acrophylla,bwa savann,,Bignoniaceae,Tabebuia,acrophylla,acrophylla,
tabebuia berteri,bwa sip,,Bignoniaceae,Tabebuia,berteri,berteri,
tabebuia conferta,,,Bignoniaceae,Tabebuia,conferta,conferta,
tabebuia heterophylla,,,Bignoniaceae,Tabebuia,heterophylla,heterophylla,
tabernaemontana amygdalifolia,,,Apocynaceae,Tabernaemontana,amygdalifolia,amygdalifolia,
tabernaemontana divaricata,,,Apocynaceae,Tabernaemontana,divaricata,divaricata,
talisia jimenezii,,,Sapindaceae,Talisia,jimenezii,jimenezii,
terminalia domingensis,,,Combretaceae,Terminalia,domingensis,domingensis,
tetragastris balsamifera,,,Burseraceae,Tetragastris,balsamifera,balsamifera,
tetrazygia angustifolia,,,Melastomataceae,Tetrazygia,angustifolia,angustifolia,
tetrazygia elaeagnoides,,,Melastomataceae,Tetrazygia,elaeagnoides,elaeagnoides,
tetrazygia spp.,,,Melastomataceae,Tetrazygia,spp.,spp.,
thouinia spp.,,,Sapindaceae,Thouinia,spp.,spp.,
thouinidium spp. ,,,Sapindaceae,Thouinidium,spp.,spp.,
thrinax radiata,latanye lame,,Arecaceae,Thrinax,radiata,radiata,
tibouchina longifolia,,,Melastomataceae,Tibouchina,longifolia,longifolia,
torralbasia cunefolia,,,Celastraceae,Torralbasia,cunefolia,cunefolia,
trichilia aquifolia,,,Meliaceae,Trichilia,aquifolia,aquifolia,
trichilia havanensis,bwa loray,,Meliaceae,Trichilia,havanensis,havanensis,
trichilia pallida,twa pawol,,Meliaceae,Trichilia,pallida,pallida,
trichostigma octandrum,,,Phytolaccaceae,Trichostigma,octandrum,octandrum,
turpina occidentalis,,,Staphyleaceae,Turpina,occidentalis,occidentalis,
urera baccifera,,,Urticaceae,Urera,baccifera,baccifera,
victorinia acranda,,,Euphorbiaceae,Victorinia,acranda,acranda,
vitex agnus-castus,,,Verbenaceae,Vitex,agnus-castus,agnus-castus,
vitex heptaphylla,bwa savann,,Verbenaceae,Vitex,heptaphylla,heptaphylla,
wallenia apiculata,,,Myrsinaceae,Wallenia,apiculata,apiculata,
wallenia laurifolia,,,Myrsinaceae,Wallenia,laurifolia,laurifolia,
weinmanna pinnata,,,Cunoniaceae,Weinmanna,pinnata,pinnata,
wercklea horiida,,,Malvaceae,Wercklea,horiida,horiida,
xylosma buxifolium,,,Flacourtiaceae,Xylosma,buxifolium,buxifolium,
xylosma lineolatum,,,Flacourtiaceae,Xylosma,lineolatum,lineolatum,
xylosma schaefferioides,,,Flacourtiaceae,Xylosma,schaefferioides,schaefferioides,
xylosma spp. pikan woz,,,Flacourtiaceae,Xylosma,spp. pikan woz,spp.,
yucca aloifolia,,,Liliaceae,Yucca,aloifolia,aloifolia,
yucca elephantipes,,,Liliaceae,Yucca,elephantipes,elephantipes,
zanthoxylum elephantiasis,,,Rutaceae,Zanthoxylum,elephantiasis,elephantiasis,
zanthoxylum fagara,,,Rutaceae,Zanthoxylum,fagara,fagara,
zanthoxylum pimpinelloides,,,Rutaceae,Zanthoxylum,pimpinelloides,pimpinelloides,
zanthoxylum punctatum,,,Rutaceae,Zanthoxylum,punctatum,punctatum,
zanthoxylum spinifex,,,Rutaceae,Zanthoxylum,spinifex,spinifex,
